sample prop_missing
GEO012315_02 0.012922122674
GEO012315_12 0.00620261888353
GEO012315_18 0.0141281874569
GEO012315_21 0.0115437629221
GE012315_11_2 0.0025844245348
GE012315_09_2 0.00103376981392
GE011215_11 0.00499569336779
GE011215_11_rep 0.00551343900758
NA021015_02.1 0.012577532736
NA021015_03.1 0.0168849069607
NA021015_06.1 0.00775327360441
NA021015_08.1 0.0289455547898
NA021015_09.1 0.00516884906961
NA021015_10.1 0.00930392832529
NA021015_13.1 0.00895933838732
NA021015_14.1 0.00585802894555
NA021015_16.1 0.00551343900758
NA021015_17.1 0.00568573397657
NA021015_21.1 0.00534114403859
NA021015_22.1 0.00844245348036
NA021015_23 0.00775327360441
NA021015_25 0.00379048931771
NA021015_26 0.00327360441075
NA021015_30 0.00327360441075
NA021015_06_2 0.00568573397657
NA021015_09_2 0.00223983459683
NA021015_10_2 0.0079255685734
YS_121316_01 0.00430737422467
YS_121316_03 0.0139558924879
YS_121316_05 0.0317022742936
YS_121316_13 0.00620261888353
YS_121316_17 0.00534114403859
YS_121316_18 0.0513439007581
YS_121316_20.1 0.00671950379049
YS_121316_21 0.00378983634798
YS_121316_22 0.00603032391454
YS_121316_23 0.00982081323225
YS_121316_24 0.00413507925569
YS_121316_25 0.0110268780152
YS_121316_26 0.00809786354238
YS_121316_27 0.0897656788422
YS_121316_28 0.10544452102
YS_121316_29 0.141626464507
YS121315_08.1 0.0163680220538
YS121315_10.1 0.078566505858
YS121315_12 0.0106804478898
YS121315_12_300 0.0310130944176
YS121315_14.1 0.0103376981392
YS121315_15 0.0106822880772
YS121315_16 0.00585802894555
YS121316_30 0.0113714679531
YS_121316_04 0.103376981392
YS_121316_19 0.205547898001
YS_121316_21_2 0.00361819434873
YS_121316_20_2 0.00689179875948
YS121315_14_2 0.00861474844935
YS_121316_07 0.00930392832529
JUK07_01 0.0702963473467
JUK07_02.1 0.00551343900758
JUK07_02_rep.1 0.00585802894555
JUK07_03 0.0697794624397
JUK07_06.1 0.0187801516196
JUK07_09.1 0.00534114403859
JUK07_09_rep.1 0.00551343900758
JUK07_14 0.0694348725017
JUK07_15 0.00878704341833
JUK07_16.1 0.0184355616816
JUK07_16_rep.1 0.0182632667126
JUK07_17 0.12250172295
JUK07_18 0.0596140592695
JUK07_19 0.0194693314955
JUK07_20 0.079255685734
JUK07_22 0.101654031702
JUK07_25 0.152136457615
JUK07_26 0.0236044107512
JUK07_27 0.0122329427981
JUK07_28 0.126636802205
JUK07_29.1 0.00637491385252
JUK07_30 0.00706409372846
JUK07_32 0.00585802894555
JUK07_36.1 0.0187801516196
JUK07_37.1 0.0208476912474
JUK07_10 0.242419021365
JUK07_13 0.0382494831151
JUK07_21 0.0475534114404
JUK07_23 0.0248104755341
JUK07_34 0.0294624396968
JUK07_04 0.0349758787043
JUK07_31 0.00775327360441
JUK07_11 0.0304962095107
JUK07_06_2 0.0194693314955
JUK07_08 0.00465196416265
JUK07_33 0.00947622329428
JB121807_01 0.0065472088215
JB121807_03.1 0.0106822880772
JB121807_05 0.212919896641
JB121807_06.1 0.00809786354238
JB121807_08 0.00602928509905
JB121807_08_rep 0.00689179875948
JB121807_11.1 0.00379048931771
JB121807_12.1 0.204858718125
JB121807_14.1 0.0341144038594
JB121807_19.1 0.00689179875948
JB121807_20.1 0.0167126119917
JB121807_21.1 0.0508270158511
JB121807_24.1 0.0191247415575
JB121807_25 0.172467263956
JB121807_27 0.228768303187
JB121807_28.1 0.0403170227429
JB121807_30 0.200861326443
JB121807_31.1 0.0175740868367
JB121807_32.1 0.0306685044797
JB121807_33.1 0.0370434183322
JB121807_34.1 0.00723638869745
JB121807_37 0.00775327360441
JB121807_38.1 0.0365265334252
JB121807_42 0.121295658167
JB121807_44 0.00930392832529
JB121807_46 0.0380771881461
JB121807_22_c 0.160062026189
JB121807_26_c 0.0851137146795
JB121807_39 0.0079255685734
JB121807_03_rep 0.0111991729841
JB121807_05_2 0.00878704341833
JB121807_35_2 0.123190902826
JB121807_23_2 0.0701240523777
JB121807_27_2 0.0254996554101
JB121807_30_2 0.0205031013094
JB121807_16_2 0.00568573397657
JB121807_18 0.00964851826327
JB121807_43 0.00706409372846
JB121807_29 0.0334252239835
JB021108_02.1 0.0220537560303
JB021108_04.1 0.123363197795
JB021108_05 0.00344530577089
JB021108_05_rep 0.00344589937974
JB021108_06 0.00878704341833
JB021108_07.1 0.0144727773949
JB021108_08.1 0.105616815989
JB021108_09.1 0.0198139214335
JB021108_12.1 0.00482425913163
JB021108_13.1 0.0160234321158
JB021108_16 0.00482425913163
JB021108_17.1 0.0079255685734
JB021108_19.1 0.00930392832529
JB021108_20 0.104583046175
JB021108_22.1 0.0957960027567
JB021108_26.1 0.0270503101309
JB021108_29 0.0813232253618
JB021108_30 0.00430737422467
JB021108_32 0.00310130944176
JB021108_34 0.0535837353549
JB021108_35 0.125581395349
JB021108_35_rep 0.0970020675396
JB021108_36.1 0.00809786354238
JB021108_36_rep.1 0.00758097863542
JB021108_37.1 0.0065472088215
JB021108_37_rep.1 0.0079255685734
JB021108_38.1 0.186595451413
JB021108_39 0.110441075121
JB021108_41.1 0.0899379738112
JB021108_44.1 0.00499655410062
JB021108_45 0.00379048931771
JB021108_46.1 0.00310130944176
JB021108_46_rep.1 0.00361819434873
JB021108_47.1 0.00310130944176
JB021108_48.1 0.0117160578911
JB021108_24_c 0.0902825637491
JB021108_33_rep 0.0120606478291
JB021108_11_2 0.0192970365265
JB021108_28_2 0.252929014473
JB021108_40_2 0.0832184700207
JB021108_14_2 0.0575465196416
JB021108_25_2 0.118022053756
JB021108_31_2 0.0403170227429
JB021108_23 0.0558235699518
BOR07_01 0.252368647717
BOR07_02.1 0.00689179875948
BOR07_03 0.0472088215024
BOR07_04 0.00551343900758
BOR07_05.1 0.00999310820124
BOR07_06.1 0.0106822880772
BOR07_07.1 0.00430737422467
BOR07_08.1 0.00361819434873
BOR07_09 0.00861474844935
BOR07_10.1 0.00809786354238
BOR07_11.1 0.00568573397657
BOR07_12.1 0.00568573397657
BOR07_13.1 0.0079255685734
BOR07_14 0.00516884906961
BOR07_15 0.00723638869745
BOR07_16 0.0115437629221
BOR07_17.1 0.0079255685734
BOR07_18 0.0205031013094
BOR07_19.1 0.0322191592006
BOR07_20.1 0.00913163335631
BOR07_21.1 0.208993797381
BOR07_22 0.0065472088215
BOR07_01_2 0.0156788421778
BOR07_21_2 0.0184355616816
GEO020414_10 0.18931955211
GEO020414_11 0.00499569336779
GEO020414_11_300 0.00482425913163
GEO020414_13_300 0.0144727773949
GEO020414_14 0.0177433247201
GEO020414_14_300 0.0373880082702
GEO020414_15 0.0857881136951
GEO020414_15_300 0.138869745003
GEO020414_16 0.0220499569337
GEO020414_16_300 0.00861474844935
GEO020414_17 0.0217054263566
GEO020414_17_300 0.0484148862853
GEO020414_2 0.048406546081
GEO020414_23 0.00516795865633
GEO020414_23_300 0.00447966919366
GEO020414_24 0.00964685615848
GEO020414_24_300 0.00947622329428
GEO020414_25 0.0322136089578
GEO020414_25_300 0.0945899379738
GEO020414_26 0.0716747070986
GEO020414_27 0.0430737422467
GEO020414_29 0.0899379738112
GEO020414_3 0.0144702842377
GEO020414_30 0.257192075797
GEO020414_4 0.00964851826327
GEO020414_5 0.0334252239835
GEO020414_6 0.0666781529979
GEO020414_7 0.00568573397657
GEO020414_8 0.00706287683032
GEO020414_8_300 0.00379048931771
GEO020414_9 0.0156761412575
GEO020414_9_300 0.0144727773949
GEO020414_10_2 0.012922122674
GEO020414_30_2 0.038938662991
GEO020414_13_2 0.0110268780152
