group,geno,P1,P2,P3,P4,P5,P6,P7,P8,P9
SeaBlock16,YS121315_08,0.005,0.005,0,0,0.001,0.028,0.958,0,0.003
SeaBlock16,YS121315_10,0.012,0.001,0.15,0.002,0,0.001,0.833,0,0
SeaBlock16,YS121315_12,0.006,0.001,0.001,0,0,0.004,0.987,0,0
SeaBlock16,YS121315_15,0.02,0.001,0.082,0.01,0.001,0.032,0.848,0,0.005
SeaBlock16,YS121315_16,0.012,0.001,0.001,0.002,0,0.001,0.98,0.001,0.002
SeaBlock16,YS121316_30,0.018,0.016,0.004,0.009,0.001,0.002,0.925,0,0.024
SeaBlock16,YS_121316_0,0.003,0.003,0.006,0.002,0.002,0.001,0.983,0,0
SeaBlock16,YS_121316_1,0.003,0.001,0,0.001,0,0,0.992,0,0.001
SeaBlock16,YS_121316_2,0.02,0.165,0.001,0.004,0,0.001,0.806,0,0.002
SeaBlock16,YS_121316_2,0.005,0,0,0.184,0.001,0.001,0.808,0,0.001
SeaBlock16,YS_121316_0,0.005,0.001,0.002,0.001,0.001,0,0.99,0,0.001
Jukbyeon07,JUK07_01,0.032,0.001,0.002,0.027,0,0.036,0.902,0,0
Jukbyeon07,JUK07_02.1,0.008,0.187,0,0.003,0,0.749,0,0,0.052
Jukbyeon07,JUK07_03,0.004,0.005,0.001,0.013,0.002,0.97,0.004,0.001,0.001
Jukbyeon07,JUK07_06.1,0.263,0.002,0,0.023,0,0.71,0,0,0.002
Jukbyeon07,JUK07_09.1,0.159,0.041,0.001,0.007,0,0.791,0,0,0
Jukbyeon07,JUK07_14,0.004,0,0.001,0.001,0,0.984,0.002,0.008,0.001
Jukbyeon07,JUK07_15,0.011,0.001,0.002,0.011,0,0.947,0,0.002,0.026
Jukbyeon07,JUK07_16.1,0.015,0.205,0,0.003,0,0.774,0.001,0,0.002
Jukbyeon07,JUK07_17,0.003,0.001,0.001,0.002,0.001,0.98,0.011,0,0.002
Jukbyeon07,JUK07_18,0.016,0.122,0.011,0.024,0.001,0.826,0,0,0
Jukbyeon07,JUK07_19,0.012,0.247,0.004,0.003,0,0.73,0,0,0.004
Jukbyeon07,JUK07_20,0.006,0.003,0.006,0.004,0,0.98,0,0.001,0
Jukbyeon07,JUK07_22,0.01,0.012,0.078,0.003,0.001,0.875,0.021,0,0.001
Jukbyeon07,JUK07_25,0.002,0.002,0.001,0.001,0.001,0.989,0.003,0.001,0.002
Jukbyeon07,JUK07_26,0.006,0.002,0.009,0.004,0.001,0.972,0.002,0.001,0.004
Jukbyeon07,JUK07_27,0.016,0.026,0.001,0,0.001,0.913,0.036,0,0.007
Jukbyeon07,JUK07_28,0.007,0,0.007,0.002,0.002,0.962,0.005,0.001,0.013
Jukbyeon07,JUK07_29.1,0.082,0.005,0,0.032,0,0.879,0.001,0,0
Jukbyeon07,JUK07_30,0.246,0.001,0.001,0.002,0.001,0.749,0,0,0
Jukbyeon07,JUK07_32,0.091,0.01,0,0.001,0,0.882,0.002,0,0.013
Jukbyeon07,JUK07_36.1,0.033,0.097,0,0.017,0,0.84,0,0,0.011
Jukbyeon07,JUK07_37.1,0.01,0.006,0.004,0.035,0,0.897,0,0.001,0.047
Jukbyeon07,JUK07_10,0.003,0.001,0,0.001,0.001,0.992,0.002,0,0.001
Jukbyeon07,JUK07_13,0.008,0,0.005,0.006,0.001,0.037,0.939,0,0.004
Jukbyeon07,JUK07_21,0.004,0.002,0.011,0.002,0.001,0.978,0,0.001,0.001
Jukbyeon07,JUK07_23,0.006,0.002,0.001,0.001,0,0.987,0.002,0,0
Jukbyeon07,JUK07_34,0.004,0.002,0.206,0.004,0.001,0.777,0.003,0,0.003
Jukbyeon07,JUK07_04,0.005,0,0.016,0.025,0.003,0.942,0.002,0.005,0.003
Jukbyeon07,JUK07_12,0.009,0.001,0.036,0.002,0.002,0.945,0.004,0.002,0
Jukbyeon07,JUK07_31,0.005,0,0.987,0.001,0,0.003,0.001,0.001,0.001
Jukbyeon07,JUK07_11,0.068,0,0.074,0.018,0.004,0.833,0.001,0.001,0.001
Jukbyeon07,JUK07_08,0.189,0.001,0,0.001,0.002,0.806,0.001,0,0
Jukbyeon07,JUK07_33,0.007,0.006,0.003,0.001,0,0.032,0.951,0,0
JinBay07E,JB121807_01,0.002,0,0.996,0,0,0,0,0,0
JinBay07E,JB121807_03,0.001,0,0,0,0.999,0,0,0,0
JinBay07E,JB121807_04,0.003,0.001,0.926,0.001,0.002,0,0.001,0.066,0
JinBay07E,JB121807_06,0.029,0.006,0.897,0.011,0.002,0.009,0.006,0.003,0.037
JinBay07E,JB121807_08,0.001,0,0,0,0,0,0,0.999,0
JinBay07E,JB121807_08,0,0,0,0,0,0,0,0.999,0
JinBay07E,JB121807_11,0.005,0,0.992,0.001,0,0,0,0.001,0
JinBay07E,JB121807_12,0.073,0.001,0.9,0.003,0.021,0.001,0.001,0,0
JinBay07E,JB121807_14,0.101,0.066,0.789,0.001,0.037,0,0.001,0.006,0
JinBay07E,JB121807_19,0.004,0.001,0.993,0.001,0,0,0,0,0
JinBay07E,JB121807_20,0.002,0,0.991,0,0,0,0,0.005,0
JinBay07E,JB121807_21,0.006,0,0.989,0,0.001,0,0.001,0.001,0.001
JinBay07E,JB121807_24,0.01,0,0.916,0.001,0.001,0.066,0.004,0,0.001
JinBay07E,JB121807_25,0.003,0,0.905,0.001,0.004,0,0,0.085,0
JinBay07E,JB121807_28,0.015,0.004,0.948,0.002,0.001,0.008,0,0.021,0
JinBay07E,JB121807_31,0.098,0.001,0.892,0,0,0,0.001,0.001,0.006
JinBay07E,JB121807_32,0.006,0.001,0.989,0.002,0.001,0,0,0,0
JinBay07E,JB121807_33,0.095,0,0.856,0.002,0.008,0,0.003,0,0.035
JinBay07E,JB121807_34,0.049,0.013,0.898,0.02,0,0.003,0.003,0.001,0.013
JinBay07E,JB121807_37,0.068,0.048,0.88,0.001,0.001,0.001,0,0.001,0
JinBay07E,JB121807_38,0.147,0,0.846,0,0.002,0,0,0.003,0
JinBay07E,JB121807_41,0.007,0.005,0.963,0.004,0.009,0.001,0.002,0.001,0.007
JinBay07E,JB121807_42,0.002,0,0.935,0,0.046,0,0,0.015,0
JinBay07E,JB121807_44,0.003,0.002,0.992,0.002,0,0.001,0,0.001,0
JinBay07E,JB121807_46,0.001,0.001,0.996,0,0,0,0,0,0
JinBay07E,JB121807_48,0.001,0,0.998,0,0,0,0,0,0
JinBay07E,JB121807_22,0.002,0,0.774,0,0.002,0,0,0.221,0
JinBay07E,JB121807_26,0.002,0,0.995,0.001,0.001,0,0,0,0
JinBay07E,JB121807_39,0.004,0.001,0.992,0.001,0,0,0,0,0
JinBay07E,JB121807_03,0.001,0,0,0,0.999,0,0,0,0
JinBay07E,JB121807_05,0.016,0.01,0.812,0.001,0.153,0,0.004,0.002,0
JinBay07E,JB121807_35,0.029,0.009,0.939,0.003,0.007,0.001,0.005,0,0.008
JinBay07E,JB121807_47,0.002,0,0.995,0.001,0,0.001,0.001,0,0
JinBay07E,JB121807_23,0.024,0.032,0.903,0.003,0.009,0.024,0.005,0,0
JinBay07E,JB121807_27,0.019,0.001,0.959,0.007,0.006,0.001,0.001,0.003,0.005
JinBay07E,JB121807_30,0.002,0.001,0.993,0.001,0.001,0.001,0,0,0
JinBay07E,JB121807_16,0.002,0.002,0.902,0.033,0.016,0.036,0,0.002,0.006
JinBay07E,JB121807_18,0.075,0.004,0.9,0.003,0.012,0.002,0.002,0,0
JinBay07E,JB121807_43,0.004,0,0.991,0,0.001,0,0,0.003,0
JinBay07E,JB121807_29,0.003,0.001,0.994,0,0,0,0,0.001,0
JinBay07L,JB021108_02,0.06,0.028,0.763,0,0.005,0,0.003,0,0.14
JinBay07L,JB021108_04,0.02,0.006,0.897,0.022,0.043,0,0.009,0.002,0.002
JinBay07L,JB021108_05,0.148,0.013,0.838,0,0,0,0,0,0
JinBay07L,JB021108_06,0.001,0,0.904,0,0.001,0,0.001,0.093,0
JinBay07L,JB021108_07,0.052,0.056,0.877,0.014,0.001,0,0,0,0
JinBay07L,JB021108_08,0.005,0.002,0.946,0.001,0.032,0.001,0.001,0.013,0
JinBay07L,JB021108_09,0.128,0.005,0.843,0,0,0.001,0.002,0.016,0.004
JinBay07L,JB021108_12,0.016,0.007,0.967,0.001,0.003,0.003,0.001,0.001,0.001
JinBay07L,JB021108_13,0.057,0.001,0.855,0.035,0.001,0.028,0.003,0.003,0.016
JinBay07L,JB021108_16,0.019,0.006,0.9,0.05,0.001,0.001,0,0,0.022
JinBay07L,JB021108_17,0.004,0,0.992,0.001,0.002,0.001,0,0.001,0
JinBay07L,JB021108_19,0.066,0,0.743,0.091,0.064,0,0.002,0,0.033
JinBay07L,JB021108_22,0.22,0.085,0.618,0,0.002,0.062,0,0.005,0.007
JinBay07L,JB021108_26,0.01,0.008,0.945,0.004,0,0.02,0.003,0.008,0.001
JinBay07L,JB021108_29,0.005,0,0.987,0.003,0,0.002,0.001,0,0
JinBay07L,JB021108_30,0.17,0.002,0.821,0.003,0.001,0.002,0.001,0,0
JinBay07L,JB021108_34,0.005,0.003,0.948,0.002,0.002,0.001,0,0.039,0.001
JinBay07L,JB021108_35,0.065,0.055,0.771,0.005,0.001,0.006,0.018,0.078,0
JinBay07L,JB021108_36,0.034,0.002,0.953,0.001,0.002,0,0.001,0.006,0
JinBay07L,JB021108_37,0.182,0.001,0.809,0.007,0,0,0,0,0
JinBay07L,JB021108_38,0.007,0.001,0.966,0.003,0.014,0,0.002,0.007,0
JinBay07L,JB021108_39,0.079,0.017,0.865,0.001,0.007,0,0.003,0.019,0.009
JinBay07L,JB021108_41,0.01,0.001,0.916,0.002,0.008,0,0.001,0.061,0
JinBay07L,JB021108_44,0.007,0.001,0.987,0.003,0,0,0,0,0.002
JinBay07L,JB021108_45,0.059,0.075,0.863,0,0.002,0,0,0,0
JinBay07L,JB021108_46,0.004,0,0.988,0.001,0,0.005,0,0,0.001
JinBay07L,JB021108_47,0.043,0.003,0.774,0.067,0.002,0.011,0.024,0.074,0.003
JinBay07L,JB021108_48,0.108,0.012,0.827,0.042,0.006,0.001,0.002,0.001,0
JinBay07L,JB021108_24,0.005,0.001,0.964,0.004,0.005,0.003,0.007,0.011,0.001
JinBay07L,JB021108_33,0.003,0,0.993,0,0.001,0.001,0.001,0,0
JinBay07L,JB021108_40,0.001,0,0.994,0,0.004,0,0,0,0
JinBay07L,JB021108_14,0.002,0.001,0.991,0.001,0,0,0.002,0.001,0.001
JinBay07L,JB021108_25,0.003,0,0.947,0,0,0,0.001,0.047,0
JinBay07L,JB021108_31,0.002,0.001,0.985,0,0.001,0.001,0,0.01,0
JinBay07L,JB021108_23,0.01,0.001,0.94,0.001,0,0.003,0.002,0.032,0.01
JinBay07L,JB021108_11,0.008,0.024,0.944,0.013,0.003,0.003,0.001,0.001,0.003
Boryeong07,BOR07_02.1,0.022,0.006,0.003,0.001,0.001,0.002,0.963,0.001,0
Boryeong07,BOR07_03,0.002,0.001,0,0,0.002,0,0.992,0,0.001
Boryeong07,BOR07_04,0.053,0.105,0.001,0.004,0.001,0.003,0.8,0,0.031
Boryeong07,BOR07_05.1,0.219,0.14,0.001,0.001,0,0.004,0.635,0,0
Boryeong07,BOR07_06.1,0.005,0,0.005,0.004,0,0.001,0.979,0.001,0.003
Boryeong07,BOR07_07.1,0.246,0.001,0.002,0.001,0,0.007,0.744,0,0
Boryeong07,BOR07_08.1,0.045,0.003,0.001,0.241,0.001,0.002,0.707,0,0
Boryeong07,BOR07_09,0.006,0.001,0.005,0.004,0,0.001,0.981,0,0.002
Boryeong07,BOR07_10.1,0.454,0.003,0,0,0.001,0,0.542,0,0.001
Boryeong07,BOR07_11.1,0.126,0.004,0,0.073,0,0,0.789,0.001,0.006
Boryeong07,BOR07_12.1,0.147,0.015,0.002,0.003,0.001,0.004,0.827,0,0
Boryeong07,BOR07_13.1,0.404,0,0.001,0.001,0,0.001,0.592,0,0
Boryeong07,BOR07_14,0.164,0.003,0.002,0.059,0,0,0.77,0.001,0
Boryeong07,BOR07_15,0.084,0.047,0.002,0.001,0.001,0.001,0.863,0,0
Boryeong07,BOR07_16,0.014,0.014,0.013,0.003,0.001,0.001,0.952,0.002,0
Boryeong07,BOR07_17.1,0.042,0.018,0.002,0.017,0.001,0.043,0.875,0.001,0.001
Boryeong07,BOR07_18,0.012,0.003,0.016,0,0,0.003,0.965,0,0
Boryeong07,BOR07_19.1,0.004,0.005,0.001,0.004,0.001,0.002,0.974,0,0.009
Boryeong07,BOR07_20.1,0.1,0.084,0,0.011,0.001,0.016,0.787,0,0
Boryeong07,BOR07_22,0.059,0.03,0.001,0.003,0,0.041,0.86,0.002,0.003
Boryeong07,BOR07_01_2,0.012,0.004,0.004,0.004,0.001,0.011,0.963,0.001,0
Boryeong07,BOR07_21_2,0.004,0.001,0.008,0.003,0.002,0.001,0.98,0,0
Geoje14,GEO020414_1,0.015,0.001,0.903,0.003,0.005,0.001,0.002,0.068,0.003
Geoje14,GEO020414_1,0.034,0.003,0.812,0.001,0.075,0.003,0.001,0.057,0.014
Geoje14,GEO020414_1,0.003,0.001,0.992,0,0.001,0,0,0.002,0.001
Geoje14,GEO020414_1,0.004,0,0.925,0.003,0.052,0.001,0.001,0.003,0.012
Geoje14,GEO020414_1,0.003,0.004,0.985,0.001,0,0.001,0.001,0.005,0.001
Geoje14,GEO020414_1,0.05,0.01,0.911,0.012,0.001,0,0,0.015,0
Geoje14,GEO020414_2,0.012,0.006,0.956,0.009,0.001,0.004,0.006,0.002,0.006
Geoje14,GEO020414_2,0.013,0.001,0.984,0.001,0.001,0,0,0,0.001
Geoje14,GEO020414_2,0.058,0,0.907,0.01,0.003,0,0.001,0.013,0.008
Geoje14,GEO020414_2,0.015,0.001,0.95,0.01,0.015,0.004,0.002,0.003,0
Geoje14,GEO020414_2,0.034,0,0.948,0.002,0.002,0.008,0.001,0.001,0.004
Geoje14,GEO020414_2,0.004,0,0.963,0.003,0.001,0.026,0.001,0.002,0
Geoje14,GEO020414_2,0.002,0,0.908,0.001,0,0.001,0,0.088,0
Geoje14,GEO020414_3,0.012,0,0.94,0.003,0.012,0,0.001,0.031,0.001
Geoje14,GEO020414_4,0.038,0.004,0.934,0.006,0.015,0,0.002,0,0
Geoje14,GEO020414_5,0.009,0.011,0.967,0.004,0,0.001,0.003,0.003,0.002
Geoje14,GEO020414_6,0.005,0,0.001,0.001,0,0.003,0.987,0,0.002
Geoje14,GEO020414_7,0.04,0.001,0.93,0.002,0.001,0,0.005,0,0.021
Geoje14,GEO020414_8,0.005,0.001,0.979,0.001,0.007,0.001,0.004,0,0.002
Geoje14,GEO020414_8,0.004,0.022,0.957,0.003,0.01,0.003,0,0.001,0.001
Geoje14,GEO020414_9,0.001,0,0.993,0,0,0.001,0,0.003,0
Geoje14,GEO020414_9,0.002,0,0.995,0,0,0.001,0,0.001,0
Geoje14,GEO020414_1,0.003,0.001,0.99,0,0,0,0.001,0.004,0
Geoje14,GEO020414_3,0.004,0.001,0.988,0,0.005,0.001,0,0,0
