sample	n_tags	n_loci	p_missing_data	missing_gt20
JB121807_14.1	44253	3532063	11.42426242	0
JB121807_16.1	28614	1814325	33.27363559	1
JB121807_19.1	39133	2325569	8.144028655	0
JB121807_20.1	38022	1789463	8.436233387	0
JB121807_21.1	40546	3461393	13.13036101	0
JB121807_23	27384	996469	38.33537562	1
JB121807_24.1	38250	2080584	9.454236969	0
JB121807_25	32646	1119322	21.49118673	1
JB121807_27	32638	1521654	29.08850976	1
JB121807_28.1	36712	1348383	10.83985296	0
JB121807_30	38564	1799365	25.67631256	1
JB121807_30.1	25593	826535	41.53077576	1
JB121807_31.1	46046	4858641	9.75586766	0
JB121807_32.1	39924	3692041	10.97181638	0
JB121807_33.1	42703	4011732	11.36770666	0
JB121807_34.1	40224	3964034	8.153454614	0
JB121807_35	19704	433572	59.40239419	1
JB121807_37	40315	3947023	8.304269959	0
JB121807_38.1	44512	3410899	11.13205769	0
JB121807_41.1	30212	2021500	30.80403431	1
JB121807_42	38087	2624412	21.00103686	1
JB121807_44	46752	5447707	8.879253464	0
JB121807_45.1	23170	1246515	46.44170044	1
JB121807_46	44592	3609690	11.74474503	0
JB121807_47	12791	285263	75.84126685	1
JB121807_48.1	31888	1626523	28.53237817	1
JB021108_02.1	39603	4311669	10.2083137	0
JB021108_04.1	34195	1816458	19.08756716	0
JB021108_05	44928	10651977	6.353096428	0
JB021108_05_rep	45153	12697218	6.617023282	0
JB021108_06	39548	2104987	7.550193232	0
JB021108_07.1	39501	2503842	8.473937223	0
JB021108_08.1	35704	1721654	18.22037892	0
JB021108_09.1	40054	4329770	9.407107173	0
JB021108_10.1	24751	1196957	42.50164954	1
JB021108_11	9657	173168	79.10264869	1
JB021108_12.1	42547	4944510	6.94693185	0
JB021108_13.1	39330	2579086	8.964087096	0
JB021108_14	25019	873350	42.85041003	1
JB021108_16	41411	3108991	6.334244509	0
JB021108_17.1	39082	2425901	7.748138373	0
JB021108_19.1	47079	6267465	8.341973796	0
JB021108_20	35133	1053046	14.977849	0
JB021108_22.1	36852	3244823	17.4663022	0
JB021108_25.1	29654	1081054	28.92826845	1
JB021108_26.1	39295	2900671	10.45338863	0
JB021108_28	30307	789949	42.02092563	1
JB021108_29	35810	1814690	14.88358941	0
JB021108_30	41868	5002275	6.315392591	0
JB021108_31.1	21562	949374	49.61824866	1
JB021108_32	43261	7666082	6.409652182	0
JB021108_33	21559	525803	52.13497973	1
JB021108_34	37510	2553725	12.8570082	0
JB021108_35	35103	910556	14.29917994	0
JB021108_35_rep	35784	986962	12.56480347	0
JB021108_36.1	40764	3564362	7.682156659	0
JB021108_36_rep.1	40399	3473439	7.653878782	0
JB021108_37.1	42003	3874496	7.455933641	0
JB021108_37_rep.1	43021	3852296	7.606748987	0
JB021108_38.1	31890	1459670	24.33782637	1
JB021108_39	38310	2476612	18.32406447	0
JB021108_40	19303	427207	58.21472335	1
JB021108_41.1	36054	2899441	16.72165143	0
JB021108_44.1	39992	3562001	7.286266378	0
JB021108_45	42958	7512937	6.8432463	0
JB021108_46.1	41314	5675208	6.475633896	0
JB021108_46_rep.1	40150	3527876	6.701856914	0
JB021108_47.1	40470	3923619	6.965783768	0
JB021108_48.1	41270	7101400	8.794419832	0
BOR07_01	60281	1717981	26.67546423	1
BOR07_02.1	48469	4096017	7.022339523	0
BOR07_03	42924	2968140	10.67018569	0
BOR07_04	53362	5993580	6.767838628	0
BOR07_05.1	65655	8659570	7.964935432	0
BOR07_06.1	77686	4078253	7.531341314	0
BOR07_07.1	53584	6259115	6.305966632	0
BOR07_08.1	52289	9296113	7.917805637	0
BOR07_09	53796	5769259	6.871524178	0
BOR07_10.1	55316	4774298	6.711282873	0
BOR07_11.1	58012	6057266	6.475633896	0
BOR07_12.1	55935	3962949	7.192006787	0
BOR07_13.1	44254	4475682	6.6358752	0
BOR07_14	60960	10735145	6.607597323	0
BOR07_15	67386	7761056	6.786690546	0
BOR07_16	45183	3692985	7.210858705	0
BOR07_17.1	49852	3287279	7.163728909	0
BOR07_18	67800	7110518	13.76190027	0
BOR07_19.1	78523	5149426	10.71731549	0
BOR07_20.1	47679	7747504	6.937505891	0
BOR07_21.1	73046	3280358	25.58205297	1
BOR07_22	56172	6685657	6.654727118	0
GEO020414_10	40082	1962002	25.25214441	1
GEO020414_11	47609	5803141	9.312847582	0
GEO020414_11_300	48768	4659273	8.332547837	0
GEO020414_13	63	1114	99.93401829	1
GEO020414_13_300	46197	3172787	8.841549628	0
GEO020414_14	44362	4039842	10.18003582	0
GEO020414_14_300	43536	3494966	12.13120935	0
GEO020414_15	44147	2336383	16.54255821	0
GEO020414_15_300	43072	2039080	20.71825808	1
GEO020414_16	46030	4033436	10.87755679	0
GEO020414_16_300	46167	3618428	8.982939014	0
GEO020414_17	45604	3864586	10.11405411	0
GEO020414_17_300	44961	3057343	13.14921293	0
GEO020414_2	43774	4056569	11.51852201	0
GEO020414_23	47169	7069859	9.491940805	0
GEO020414_23_300	46313	6158191	9.067772646	0
GEO020414_24	48881	4525205	9.114902441	0
GEO020414_24_300	49526	3842521	7.98378735	0
GEO020414_25	45171	3666663	14.49712508	0
GEO020414_25_300	40832	2587646	18.82364031	0
GEO020414_26	43748	3752341	14.94014516	0
GEO020414_27	45250	4659426	11.25459516	0
GEO020414_29	43748	3083761	15.87331511	0
GEO020414_3	47073	4784237	7.635026864	0
GEO020414_30	37644	1585848	28.91884249	1
GEO020414_4	48862	5641450	7.201432746	0
GEO020414_5	45492	4831675	9.906683005	0
GEO020414_6	43496	3555024	13.72419644	0
GEO020414_7	48981	4631204	7.088321237	0
GEO020414_8	45665	5825946	9.369403337	0
GEO020414_8_300	46074	5328677	8.549344896	0
GEO020414_9	46701	3815390	9.265717787	0
GEO020414_9_300	47196	3311770	8.228862287	0
