sample	prop_het	read_depth	p_missing_genos
GEO012315_21	0.174301676	4819847	0.006475486
GE012315_11_2	0.371412701	11780055	0.000740056
GE012315_09_2	0.432512498	5169137	0.000740056
GE011215_11	0.195280565	8550021	0.004439512
GE011215_11_rep	0.191078067	7558364	0.004625347
NA021015_02.1	0.178145942	4039779	0.006105458
NA021015_03.1	0.266641805	3086869	0.007770583
NA021015_06.1	0.27314987	4864411	0.004995375
NA021015_08.1	0.17936716	2468650	0.011840888
NA021015_09.1	0.306122449	4076545	0.002775208
NA021015_10.1	0.277415751	3737101	0.006290472
NA021015_13.1	0.262267658	5022277	0.004625347
NA021015_14.1	0.209686398	4332781	0.002960222
NA021015_16.1	0.185934311	5291624	0.002960222
NA021015_17.1	0.174308521	4162902	0.00333025
NA021015_21.1	0.176492399	3800139	0.002035153
NA021015_22.1	0.174381855	3309272	0.004810361
NA021015_23	0.182915506	2712287	0.003700278
NA021015_25	0.175292154	5191269	0.002590194
NA021015_26	0.20140819	3817109	0.001480111
NA021015_30	0.182273317	3712357	0.002220167
NA021015_06_2	0.34354689	13390849	0.003700278
NA021015_09_2	0.370088955	12844951	0.001665125
NA021015_10_2	0.274520752	3404635	0.005920444
YS_121316_01	0.182695878	6316229	0.003515264
YS_121316_03	0.182140194	2808906	0.007585569
YS_121316_05	0.235383447	6635649	0.025346901
YS_121316_13	0.200074308	4409814	0.004070305
YS_121316_17	0.202817946	3900580	0.002035153
YS_121316_18	0.170458928	5165500	0.040518039
YS_121316_20.1	0.2877069	5211971	0.005180389
YS_121316_21	0.233092459	5653775	0.001664817
YS_121316_22	0.19643189	5677131	0.004440333
YS_121316_23	0.210732253	3985378	0.007030527
YS_121316_24	0.179996289	6058065	0.002960222
YS_121316_25	0.173515129	3211547	0.009435708
YS_121316_26	0.178219662	2863848	0.004440333
YS_121316_27	0.164391691	4262963	0.064754857
YS_121316_28	0.164797757	3981699	0.076040703
YS_121316_29	0.143972068	2857842	0.099167438
YS121315_08.1	0.169526296	2252448	0.007955597
YS121315_10.1	0.176414555	1311987	0.028862165
YS121315_12	0.171924585	5791989	0.009064003
YS121315_12_300	0.160173979	4038365	0.021646623
YS121315_14.1	0.303684406	2885627	0.00573543
YS121315_15	0.178145942	4324878	0.006105458
YS121315_16	0.183336426	6716657	0.002960222
YS121316_30	0.196608274	4335330	0.007215541
YS_121316_04	0.16463182	1444967	0.030157262
YS_121316_19	0.14833963	3922248	0.069565217
YS_121316_21_2	0.225639126	10601998	0.001295097
YS_121316_20_2	0.245118096	7233818	0.005180389
YS121315_14_2	0.307191972	3238656	0.004440333
YS_121316_07	0.196803568	2921349	0.004440333
JUK07_01	0.150039432	3616220	0.061609621
JUK07_02.1	0.211659859	8561987	0.003515264
JUK07_02_rep.1	0.183101207	3929100	0.003700278
JUK07_03	0.159889459	3800860	0.062719704
JUK07_06.1	0.242943169	17189641	0.016836263
JUK07_09.1	0.211034739	7283224	0.004070305
JUK07_09_rep.1	0.213489409	7959380	0.004255319
JUK07_14	0.157097916	3822809	0.059019426
JUK07_15	0.175102345	6618897	0.00573543
JUK07_16.1	0.205528394	6629190	0.016096207
